timestamp,-1min,sma7,sma25,sma50,ema7,ema25,ema50,close
1682181300,27605.18,27613.547724777545,27578.959888132293,27523.136607238746,27608.629477291233,27608.29863004778,27577.692691664244,27604.51
1682181360,27604.51,27613.23376409504,27580.255492607,27524.900875093976,27609.309607968426,27608.533350813334,27579.012586108784,27611.35
1682181420,27611.35,27613.47894065289,27581.64327290272,27526.701857592096,27610.719705976317,27609.02693921231,27580.421896457457,27614.95
1682181480,27614.95,27616.63194913105,27583.799541986613,27528.87882044025,27616.92727948224,27611.067174657514,27582.583782870894,27635.55
1682181540,27635.55,27618.948813540897,27585.76156030715,27530.958244031448,27620.90795961168,27612.742776606934,27584.555007072035,27632.85
1682181600,27632.85,27621.003268749344,27587.664297894862,27533.00567915082,27624.01346970876,27614.326409175635,27586.467751892735,27633.33
1682181660,27633.33,27626.108516070868,27590.427325979064,27535.480365567804,27632.19510228157,27617.5889930852,27589.223526328315,27656.74
1682181720,27656.74,27631.53301377503,27593.3734329399,27538.05235825645,27640.166326711176,27621.16522438634,27592.159074315437,27664.08
1682181780,27664.08,27636.80258323574,27596.375295622307,27540.659711091317,27647.229745033383,27624.800207125852,27595.149698852085,27668.42
1682181840,27668.42,27641.046499916352,27599.180683797415,27543.176716869493,27652.049808775035,27628.008652731558,27597.948142034358,27666.51
1682181900,27666.51,27647.28271421402,27602.601456445514,27546.007182532103,27660.212356581276,27632.369525598362,27601.35017568007,27684.7
1682181960,27684.7,27647.40089789773,27604.421798187694,27548.049238881464,27657.186767435956,27633.580331321566,27603.18389428085,27648.11
1682182020,27648.11,27646.9793410552,27606.022926260186,27549.977254103833,27654.002575576968,27634.416459681444,27604.8021729365,27644.45
1682182080,27644.45,27646.829435190168,27607.619209209777,27551.896309021755,27651.984431682722,27635.302116629027,27606.415028899777,27645.93
1682182140,27645.93,27645.982373020142,27608.95044084139,27553.67638284132,27649.213323762044,27635.73272304218,27607.767380707628,27640.9
1682182200,27640.9,27642.760605445834,27609.529623207734,27555.07145518449,27642.767492821535,27634.786359731243,27608.381601072037,27623.43
