timestamp,-1min,sma7,sma25,sma50,ema7,ema25,ema50,price
1681487400,30317.62,30297.17264248576,30368.366552038853,30464.730092376238,30303.09291806434,30310.278760579182,30370.762288389258,30290.48
1681487460,30290.48,30298.297979273506,30365.833889957303,30461.536490528713,30303.582188548255,30309.876548226937,30368.185335903407,30305.05
1681487520,30305.05,30297.269696520147,30362.84453435901,30458.12776071814,30300.461641411188,30308.432198363324,30365.16238155425,30291.1
1681487580,30291.1,30292.06831130298,30358.765152984648,30454.18240550378,30290.561231058393,30304.77279848922,30361.072092081533,30260.86
1681487640,30260.86,30288.66140968827,30355.14334686526,30450.463157393704,30284.975923293794,30301.961044759275,30357.43083356853,30268.22
1681487700,30268.22,30282.38549401852,30350.72681299065,30446.34849424583,30274.914442470345,30297.55865670087,30353.01119303643,30244.73
1681487760,30244.73,30277.518994873015,30346.630540471026,30442.387924360915,30268.26583185276,30293.77106772388,30348.905656054605,30248.32
1681487820,30248.32,30277.900567034016,30343.97291885218,30439.143965873696,30271.24687388957,30292.72637020666,30346.21092444462,30280.19
1681487880,30280.19,30276.88905745773,30341.046802098095,30435.777486556224,30271.140155417175,30291.04126480615,30343.254417603654,30270.82
1681487940,30270.82,30275.376334963767,30338.056930014176,30432.3879368251,30269.930116562882,30289.13809059029,30340.236597305473,30266.3
1681488000,30266.3,30271.326858540368,30334.41585281361,30428.680778088597,30264.20508742216,30285.899006698728,30336.581436626828,30247.03
1681488060,30247.03,30269.77873589174,30331.458818701067,30425.316962526827,30263.27631556662,30283.9444677219,30333.59745871989,30260.49
1681488120,30260.49,30268.53320219292,30328.642865953025,30422.03182327629,30262.722236674967,30282.184124050986,30330.75285249558,30261.06
1681488180,30261.06,30265.79131616536,30325.470751314904,30418.577986810767,30259.376677506225,30279.657652970145,30327.5601916134,30249.34
1681488240,30249.34,30265.825413856022,30323.09312126231,30415.527027074553,30261.04000812967,30278.60937197244,30325.147242922678,30266.03
1681488300,30266.03,30261.58606901945,30319.61539641182,30411.939486533058,30254.81750609725,30275.3432664361,30321.657154964927,30236.15
1681488360,30236.15,30253.359487730955,30314.990780555345,30407.780696802394,30242.113129572936,30269.85532286409,30317.043148887875,30204
1681488420,30204,30245.829560912247,30310.41714933313,30403.638082866342,30231.7473471797,30264.531836489932,30312.478711676587,30200.65
1681488480,30200.65,30240.102480781927,30306.230063359802,30399.680121209018,30225.245510384775,30260.009387529168,30308.292879846133,30205.74
1681488540,30205.74,30240.322126384508,30303.64646082541,30396.519318784834,30229.34413278858,30258.596357719234,30305.679041420794,30241.64
1681488600,30241.64,30239.53610832958,30300.893402392394,30393.285332409137,30230.713099591434,30256.767407125448,30302.90025548272,30234.82
1681488660,30234.82,30238.118092853925,30298.042066296697,30390.011825760957,30230.437324693576,30254.678375808107,30300.02612781673,30229.61
1681488720,30229.61,30238.13122244622,30295.64878364483,30386.97578924574,30232.380493520184,30253.411577669023,30297.60196594156,30238.21
1681488780,30238.21,30242.523904953905,30294.578032299032,30384.613873460818,30241.50537014014,30254.601456309865,30296.47561433601,30268.88
1681488840,30268.88,30248.39334710335,30294.13931100707,30382.593795991605,30252.031527605108,30256.832882747563,30295.97108044048,30283.61
1681488900,30283.61,30250.227154660013,30292.822938566784,30380.16652007177,30254.33114570383,30257.171122536212,30294.608685129086,30261.23
1681488960,30261.23,30250.4547039943,30291.18282102411,30377.59958967033,30253.703359277875,30256.759497725736,30292.93069747696,30251.82
1681489020,30251.82,30247.46403199511,30288.71630818315,30374.637997876926,30247.657519458407,30254.664151746834,30290.44400345826,30229.52
1681489080,30229.52,30244.884884567236,30286.344055855825,30371.733437919385,30243.095639593805,30252.721524689383,30288.050513126564,30229.41
1681489140,30229.41,30242.355615343346,30283.977493621594,30368.842369160997,30239.11672969535,30250.75679202097,30285.663434180427,30227.18
1681489200,30227.18,30235.65481315144,30280.436393876727,30365.374521777776,30228.20004727151,30246.502423403974,30282.12565244786,30195.45
1681489260,30195.45,30228.905554129804,30276.755338121657,30361.83523134222,30218.252535453634,30242.03377544982,30278.450528822457,30188.41
1681489320,30188.41,30227.28618925412,30274.387924596787,30358.949926715377,30218.081901590223,30240.15194656907,30276.06305710393,30217.57
1681489380,30217.57,30224.489590789246,30271.720807612917,30355.92512818107,30215.488926192666,30237.656412217606,30273.38254506064,30207.71
1681489440,30207.71,30220.18964924792,30268.6275753084,30352.694425617447,30210.2141946445,30234.32822666241,30270.284798195516,30194.39
1681489500,30194.39,30219.38255649822,30266.464072296065,30349.931337105096,30211.295645983373,30232.80605538068,30268.098727678043,30214.54
1681489560,30214.54,30220.070762712763,30264.773509404222,30347.41671036299,30214.52173448753,30232.14405112063,30266.37720894557,30224.2
1681489620,30224.2,30220.462082325223,30263.094969028058,30344.924576155736,30216.59380086565,30231.426047188274,30264.668690947707,30222.81
1681489680,30222.81,30220.280356278763,30261.338770266935,30342.40988463262,30217.242850649236,30230.484812789175,30262.885212871322,30219.19
1681489740,30219.19,30219.830305381798,30259.570419456257,30339.904286939964,30217.21463798693,30229.4575194977,30261.090890797936,30217.13
1681489800,30217.13,30216.34454747011,30257.00480267801,30337.014801201163,30211.768478490194,30226.840017997878,30258.515953903898,30195.43
1681489860,30195.43,30210.572469260096,30253.762210570887,30333.79330517714,30202.811358867646,30222.92463199804,30255.277681201784,30175.94
1681489920,30175.94,30206.020687937224,30250.76012214805,30330.691639073597,30196.786019150735,30219.52350645973,30252.275027037005,30178.71
1681489980,30178.71,30205.940589660477,30248.948117262124,30328.187006292123,30198.954514363053,30218.441698270522,30250.439143623786,30205.46
1681490040,30205.46,30205.29764828041,30247.047792571633,30325.65206616628,30199.57588577229,30217.133875326635,30248.517608579714,30201.44
1681490100,30201.44,30201.515127097497,30244.318680868768,30322.715424842954,30194.386914329218,30214.186654147667,30245.784369027566,30178.82
1681490160,30178.82,30194.587251797853,30240.666733634014,30319.32151634609,30184.045185746912,30209.48152690554,30242.146550634327,30153.02
1681490220,30153.02,30187.683358683873,30236.890464288652,30315.86028601917,30174.598889310182,30204.618332528193,30238.386293746706,30146.26
1681490280,30146.26,30179.174307443318,30232.53964571711,30312.105480298793,30162.979166982637,30198.73384541064,30234.062125364482,30128.12
1681490340,30128.12,30169.333692094275,30227.649659888426,30308.06917069282,30149.80687523698,30191.930472686745,30229.20831652666,30110.29
1681490400,30110.29,30156.551736080804,30221.73807349289,30303.504987278968,30132.320156427737,30183.30966709546,30223.351519800126,30079.86
1681490460,30079.86,30151.407202354978,30217.690150553175,30299.84568753339,30129.3751173208,30178.48123116504,30219.31969549424,30120.54
1681490520,30120.54,30147.67903058998,30213.994944531052,30296.354973782723,30128.3588379906,30174.39113646004,30215.633040768975,30125.31
1681490580,30125.31,30145.66631193427,30210.77874674981,30293.099674307072,30129.66662849295,30171.252587501578,30212.415666621167,30133.59
1681490640,30133.59,30145.92112451509,30208.245596879813,30290.18668082093,30134.11247136971,30169.421619232227,30209.867993420336,30147.45
1681490700,30147.45,30145.602392441506,30205.663373004616,30287.256747204512,30136.506853527284,30167.442263906672,30207.272777992086,30143.69
1681490760,30143.69,30142.580622092722,30202.41483808443,30284.00061226042,30133.49264014546,30164.13516668308,30204.024825913963,30124.45
1681490820,30124.45,30137.680533222334,30198.649444561055,30280.486200015213,30127.189480109097,30159.838615399767,30200.270126858515,30108.28
1681490880,30108.28,30127.899028476288,30193.47186677861,30276.260676014906,30112.694610081824,30152.86718344594,30195.130514040535,30069.21
1681490940,30069.21,30117.61916726539,30187.970592107464,30271.85426249461,30098.50595756137,30145.41124625779,30189.672062509533,30055.94
1681491000,30055.94,30109.532143370336,30182.892168423165,30267.63737724472,30089.131968171027,30138.9188426995,30184.62649143073,30061.01
1681491060,30061.01,30104.76469431743,30178.622881686242,30263.807829699825,30085.88897612827,30134.09123941492,30180.372903531486,30076.16
1681491120,30076.16,30106.42830941494,30176.134366418795,30260.859873105826,30093.5192320962,30132.731144075307,30177.86455437339,30116.41
1681491180,30116.41,30108.529979498515,30173.934591762045,30258.065475643707,30100.42442407215,30131.839517607976,30175.640062045022,30121.14
1681491240,30121.14,30112.195696713014,30172.34480809156,30255.58796613083,30108.865818054113,30132.020323945824,30174.0145694158,30134.19
1681491300,30134.19,30116.219168611155,30171.0654157679,30253.28340680822,30116.739363540586,30132.661837488453,30172.694782379887,30140.36
1681491360,30140.36,30121.35643023813,30170.309999137186,30251.261338672055,30125.599522655437,30134.163234604723,30171.89028111009,30152.18
1681491420,30152.18,30126.75408306126,30169.863199171697,30249.41891189861,30133.984641991578,30136.084524250513,30171.390270086165,30159.14
1681491480,30159.14,30131.33778548108,30169.42227120483,30247.60733366064,30140.19848149368,30137.83494546201,30170.898102631807,30158.84
1681491540,30158.84,30136.556673269493,30169.360180356638,30246.01258698743,30147.116361120257,30140.145334272627,30170.77935350899,30167.87
1681491600,30167.87,30140.89000565957,30169.261373142373,30244.43013524768,30152.059770840195,30142.202616251656,30170.626829841975,30166.89
1681491660,30166.89,30148.35000485106,30170.215318216677,30243.403732542727,30162.322328130147,30146.11856884768,30171.508522789347,30193.11
1681491720,30193.11,30157.25143272948,30171.83310548801,30242.74885789187,30174.40674609761,30151.08329432093,30173.043874836825,30210.66
1681491780,30210.66,30167.35551376813,30174.07898126849,30242.453480734035,30187.80005957321,30156.99842552701,30175.19823268636,30227.98
1681491840,30227.98,30179.014726086967,30177.07462201775,30242.58381111935,30203.09254467991,30164.07316202493,30178.09124316925,30248.97
1681491900,30248.97,30185.034050931685,30178.83763713704,30242.155134896962,30207.60690850993,30168.463688023017,30179.77982186849,30221.15
1681491960,30221.15,30188.094900798584,30179.942531651555,30241.44123219902,30207.32018138245,30171.38648125202,30180.826103363845,30206.46
1681492020,30206.46,30193.515629255933,30181.786430385495,30241.13320755504,30212.00013603684,30175.590598078787,30182.59919734958,30226.04
1681492080,30226.04,30196.8191107908,30183.180573170077,30240.64334340394,30213.160102027632,30178.74824438042,30183.934130786853,30216.64
1681492140,30216.64,30202.429237820685,30185.296950243275,30240.552276535862,30218.892576520724,30183.15914865885,30185.97945899129,30236.09
1681492200,30236.09,30208.09077527487,30187.56747223355,30240.582431005147,30224.684432390542,30187.6899833774,30188.178695893595,30242.06
1681492260,30242.06,30215.07780737846,30190.344773344208,30240.910782385046,30232.763324292908,30193.021523117597,30190.877570564433,30257
1681492320,30257,30220.28669203868,30192.792582410442,30241.123366737345,30237.457493219685,30197.522944416243,30193.256489365827,30251.54
1681492380,30251.54,30225.197164604586,30195.267279114025,30241.394099402594,30241.758119914764,30201.91810253807,30195.664470175012,30254.66
1681492440,30254.66,30227.847569661073,30197.206587949466,30241.44121741454,30242.256089936072,30205.135940804375,30197.55017722697,30243.75
1681492500,30243.75,30229.737916852348,30198.96152443149,30241.43399306625,30241.962067452056,30207.90086843481,30199.257229100418,30241.08
1681492560,30241.08,30233.46678587344,30201.236663454227,30241.722113204924,30245.43155058904,30211.588493939824,30201.476161292558,30255.84
